WineName,WineryName,Description,Price,Capacity,Grape,Secondary Grape Varieties,Closure,Country,Unit,Characteristics,Per bottle / case / each,Type,ABV,Region,Style,Vintage,Appellation,Acidity
Chardonnay,Bread & Butter,"This really does what it says on the tin. It's a lush Chardonnay which tastes of – you guessed it – bread and butter. The winemaking team combine grapes from two very different regions to create something full but fresh. Monterey is known for its big Chardonnays, but Carneros is far cooler, so flavours are more understated. And you'll taste the benefits in this bold and buttery wine. It's silky smooth with fresh notes of citrus and vanilla. It's incredibly versatile, but we like it best with creamy tarragon chicken or soft, creamy cheese.",£15.99 per bottle,75CL,Chardonnay,,Natural Cork,USA,10.1,"Vanilla, Almond, Coconut, Green Apple, Peach, Pineapple, Stone Fruit",per bottle,White,ABV 13.50%,California,Rich & Toasty,2021,Napa Valley,High
Pinot Noir,Bread & Butter,"Bread & Butter is that thing that you can count on. It's dependable, comforting – you know what to expect. That's exactly what you'll get with this wine, a textbook Californian Pinot Noir from the same winery which brought you the sell-out Bread & Butter Chardonnay. Their vineyards are ideally located for classic varieties like Pinot. It's sun-drenched, but cooled by the daily morning mists which roll in off the Pacific. It's exactly the sort of position that pernickety Pinot thrives in. This deliciously silky wine proves our point. It's all about red fruit. Cherries. Raspberries. Cranberries. It's seriously juicy and seriously delicious, with a nice fullness which is classic California. Oak ageing gives it a touch of cedary spice, and woody herb notes. Perfect with roast mushrooms.",£15.99 per bottle,75CL,Pinot Noir,,Natural Cork,USA,10.1,"Smoke, Black Cherry, Cedar, Raspberry, Red Fruit",per bottle,Red,ABV 13.50%,California,Smooth & Mellow,2021,Napa Valley,High
Rioja Reserva,Marqués de Riscal,"Marqués de Riscal made Rioja what it is today. Up until the 1850s the locals had made only light, young wines. Then, in 1858, Riscal introduced the 'Bordeaux method', barrel ageing. From that moment on, the practice became integral to Rioja. Today, Riscal Reserva is one of the most famous wines in Spain. Each grape is selected from vines that are at least 50 years old. Mature vines make the tastiest grapes. So the wine is incredibly rich and concentrated. It's full of summer-berry flavours and notes of liquorice and vanilla spice. Perfect with jamón.",£17.99 per bottle,75CL,Tempranillo,Graciano,Natural Cork,Spain,10.9,"Vanilla, Black Fruit, Red Fruit",per bottle,Red,ABV 14.50%,Rioja And Navarra,Savoury & Full Bodied,2019,Rioja,High
Cabernet Sauvignon,Bread & Butter,"California is where you'll find some of the world's most coveted Cabernet Sauvignon. This is made in the image of the very best of the Golden State – and it's exclusive to us. Bread & Butter's philosophy is all about simple pleasures, and their wines are crafted to reflect that. This classically-styled Cabernet is aged in both French and American oak to deepen complexity and soften the texture, making for a silky-smooth sip. Expect lavish flavours of ripe berries, mocha, black pepper and toasty vanilla. Soft tannins and plush fruit make it a fantastic partner for steak with tangy blue-cheese sauce.",£15.99 per bottle,75CL,Cabernet Sauvignon,,Natural Cork,USA,10.1,"Vanilla, Black Pepper, Blackcurrant, Coffee",per bottle,Red,ABV 13.50%,California,Smooth & Mellow,2021,Napa Valley,High
Gavi,La Raia,"This organic wine is grown in a rural Italian paradise. Vines grow between orchards, elderflower and acacia trees, all teeming with wildlife. This beautiful landscape sets the scene for the Rossi Cairo family's biodynamic winemaking, which brings purity to all of their wines. Their Gavi embodies this. A zingy blend of fruit and freshness with notes of peach, almond and blossom. Enjoy with fresh pesto pasta.",£14.99 per bottle,75CL,Cortese,,Screwcap,Italy,9.8,"Lime, Citrus Fruit, Floral, Green Apple, Lemon",per bottle,White,ABV 13.00%,Piedmont,Aromatic & Floral,2021,Gavi,High
Bordeaux Supérieur,Château Recougne,"Legend has it that during a stay at Château Recougne in the 16th century, Henri IV was so impressed by the quality of the wine he declared the château's land 'terra recognita' – recognised land. The wax seal you see on the label was a symbol of the extremely coveted designation. The old Bordeaux variety Carménère is used in the blend – and the end result is fit for a king. Expect food-friendly notes of cherry, cedar wood and earthiness, with fine-grain tannins. Enjoy with roast lamb.",£12.99 per bottle,75CL,Merlot,"Cabernet Sauvignon, Cabernet Franc, Carménère",Natural Cork,France,10.9,"Smoke, Blackberry, Red Plum",per bottle,Red,ABV 14.50%,Bordeaux,Savoury & Full Bodied,2020,Bordeaux Supérieur,High
Cabernet Sauvignon,Rocklin Ranch,"Rocklin Ranch sits in the volcanic foothills of Monterey and is powered by a single wind turbine. They're just as dedicated to fantastic wine as they are the environment. And it really shows in this bold, structured Cabernet Sauvignon. It has notes of ripe plum, blackberry, blueberry, baking spices and toasty vanilla. Try it with a beef burger.",£18.99 per bottle,75CL,Cabernet Sauvignon,,Natural Cork,USA,10.9,"Vanilla, Black Fruit, Black Plum, Blackberry, Blueberry",per bottle,Red,ABV 14.50%,California,Smooth & Mellow,2021,Monterey,High
RM Nicholson,Rustenberg,"Rustenberg's Murray Barlow is the only person to be named Young Winemaker of the Year twice by Diners Club. And he's a specialist in creating exceptional reds under the Stellenbosch sun. This is a blend of Shiraz, Merlot and Cabernet Sauvignon. An unconventional mixture of traditional Bordeaux and Rhône varieties that creates something truly fantastic. It has flavours of blackcurrant, black pepper and spice that are a treat with a chargrilled steak.",£14.99 per bottle,75CL,Syrah,"Merlot, Cabernet Sauvignon",Screwcap,South Africa,10.5,"Vanilla, Black Pepper, Blackberry, Blackcurrant, Cedar, Leather, Spice",per bottle,Red,ABV 14.00%,Stellenbosch,Savoury & Full Bodied,2021,,Medium
Sauvignon Blanc,Klein Constantia,"Klein Constantia dates back to 1685. The winery without a doubt produces some of South Africa's finest wines. It has a rich history and was even referenced in novels by Charles Dickens and Jane Austen. In the cool-climate foothills of the Constantiaberg mountain, Sauvignon Blanc grapes thrive. You can really taste the benefits in this complex, textured wine. Expect notes of citrus and stone fruits that are best with grilled seafood.

In 2022, this wine won an IWC award for the 2020 vintage.",£15.99 per bottle,75CL,Sauvignon Blanc,,Screwcap,South Africa,10.1,"Grass, Citrus Fruit, Floral",per bottle,White,ABV 13.50%,Constantia,Fresh & Elegant ,2021,,High
Haut-Médoc,Château Fontesteau,"If you're after great quality claret at excellent value, look for Cru Bourgeois on the label. Château Fontesteau have held this prestigious classification since 1874, so they're certainly a name you can trust. This mature blend of classic Bordeaux grapes spends 12 months in oak barrels, making it supple, full-bodied and elegant – qualities that have earned the 2014 vintage an impressive 92-point score from Decanter. Discover rich blackcurrant, plum and cassis flavours with subtle notes of spice, toasty oak and tobacco. Its savoury character and smooth tannins make it an excellent match with red meats and game.",£16.99 per bottle,75CL,Cabernet Sauvignon,Merlot,Natural Cork,France,9.8,"Blackcurrant, Mint, Savoury",per bottle,Red,ABV 13.00%,Bordeaux,Savoury & Full Bodied,2014,Haut-Médoc,High
