WineName,WineryName,ABV,Price,Acidity,Body,Ratings
Chardonnay,Bread & Butter,0.41666666666666674,0.04945054945054946,1.0,0.75,0.5073529411764706
Pinot Noir,Bread & Butter,0.41666666666666674,0.04945054945054946,1.0,0.5,0.5220588235294117
Rioja Reserva,Marqués de Riscal,0.5,0.06043956043956044,1.0,0.75,0.617647058823529
Cabernet Sauvignon,Bread & Butter,0.41666666666666674,0.04945054945054946,1.0,0.75,0.5220588235294117
Gavi,La Raia,0.375,0.04395604395604396,1.0,0.25,0.3897058823529407
Bordeaux Supérieur,Château Recougne,0.5,0.03296703296703297,1.0,0.75,0.27941176470588225
Cabernet Sauvignon,Rocklin Ranch,0.5,0.06593406593406592,1.0,0.75,0.47058823529411775
RM Nicholson,Rustenberg,0.45833333333333326,0.04395604395604396,0.5,0.75,0.4485294117647056
Sauvignon Blanc,Klein Constantia,0.41666666666666674,0.04945054945054946,1.0,0.25,0.3897058823529407
Haut-Médoc,Château Fontesteau,0.375,0.05494505494505494,1.0,0.75,0.38235294117647056
Shiraz,Peter Lehmann,0.5,0.06593406593406592,1.0,1.0,0.3602941176470589
Rioja Gran Reserva,Marqués de Cáceres,0.5,0.0879120879120879,1.0,0.75,0.5955882352941173
Gavi,La Toledana,0.375,0.04945054945054946,1.0,0.25,0.36764705882352944
Alicante Bouschet Reserva,Casa Ermelinda Freitas,0.5,0.05494505494505494,1.0,0.75,0.5294117647058822
Pinot Noir,Bread & Butter,0.5,0.12637362637362637,1.0,0.5,0.5220588235294117
Haut-Médoc,Château Coufran,0.375,0.08241758241758243,1.0,0.75,0.3602941176470589
Purple Paradise,Chronic,0.5,0.06043956043956044,1.0,0.75,0.5
Brunello di Montalcino,Piccini,0.45833333333333326,0.15384615384615385,1.0,1.0,0.5294117647058822
Reserva,Viña Pomal,0.5,0.04395604395604396,1.0,0.75,0.4191176470588234
Shiraz,Wynns,0.4916666666666667,0.04395604395604396,1.0,1.0,0.2867647058823528
Cabernet Sauvignon-Merlot,Vergelegen,0.45833333333333326,0.03846153846153847,1.0,0.75,0.4852941176470589
Merlot,Vergelegen,0.45833333333333326,0.03846153846153847,0.0,0.75,0.4852941176470589
Classique,Rupert & Rothschild,0.45833333333333326,0.08241758241758243,1.0,0.75,0.6029411764705883
Haut-Médoc,Château de Sainte Gemme,0.375,0.04395604395604396,1.0,0.75,0.3161764705882355
Bourgogne Gamay,Louis Latour,0.375,0.06043956043956044,1.0,0.25,0.3235294117647056
Merlot,Luis Felipe Edwards,0.5,0.023626373626373626,1.0,0.75,0.0
Reserva Merlot,Luis Felipe Edwards,0.5,0.023626373626373626,1.0,0.75,0.04411764705882337
Gran Reserva Merlot,Luis Felipe Edwards,0.5,0.023626373626373626,1.0,0.75,0.2867647058823528
Rioja Crianza,Marqués de Cáceres,0.45833333333333326,0.03846153846153847,1.0,0.75,0.3088235294117645
