WineName,Price,ABV,Acidity,User_TOPSIS_Score
Tignanello,169.99,14.5,2,0.7956207659277842
Clos du Temple,188.99,14.5,3,0.7509202509474172
Clos d'Ora,188.99,15.5,3,0.7436994965197441
Descendant,120.0,15.0,3,0.5549657828105117
Pomerol,99.0,13.5,2,0.5110397059021482
Ares,89.99,14.5,3,0.4289747165771041
Vosne-Romanée,84.99,14.0,3,0.40988728187627843
Purple Angel,85.0,15.0,3,0.40348628032080475
Puligny-Montrachet,69.99,13.5,2,0.3786664817396776
Valpolicella Classico,79.99,16.0,3,0.3745650901560338
Amarone della Valpolicella Classico,79.99,16.0,3,0.3745650901560338
Valpolicella,79.99,16.0,3,0.3745650901560338
Viña del Olivo,75.99,14.0,3,0.36973309715384045
Puligny-Montrachet,64.99,13.5,2,0.35688026207044676
Reserva,72.99,14.5,3,0.3526987433623443
Cabernet Sauvignon,72.99,14.5,3,0.3526987433623443
Torre Muga,72.99,14.5,3,0.3526987433623443
Malbec,69.99,14.0,3,0.34301800998285736
Meursault,58.99,13.0,2,0.3357150955971561
Sauvignon Blanc,60.99,13.5,3,0.3077728577292665
Prado Enea Gran Reserva,61.99,14.5,3,0.30350483640185355
Reserva,61.99,14.5,3,0.30350483640185355
Le Serre Nuove,59.99,14.5,3,0.2946530271528354
Guidalberto,49.99,14.0,2,0.2904998414668619
Chardonnay,26.99,13.5,1,0.28839677152191584
The Chocolate Block,49.99,14.5,2,0.28601202685424887
Merlot,26.99,14.0,1,0.28468010787500153
Pouilly-Fuissé,42.99,13.5,2,0.2689413281299963
Paul Sauer,53.99,14.5,3,0.2683937339106797
Vintage Port,32.99,20.5,1,0.2678782786151675
Morey-Saint-Denis,49.99,13.0,3,0.26696035932526313
Barbaresco,52.99,14.5,3,0.2640710790501925
Brunello di Montalcino,52.99,14.5,3,0.2640710790501925
Brunello di Montalcino,54.99,15.5,3,0.26390418120789555
Merlot,13.99,14.0,1,0.26116519620825973
Gewürztraminer,12.99,14.0,1,0.2597683196730728
Merlot,11.99,14.0,1,0.258430447699749
Châteauneuf-du-Pape,42.99,15.0,2,0.25430643710423984
Sémillon,39.99,11.5,3,0.24823082173011296
Vat 1 Sémillon,39.99,11.5,3,0.24823082173011296
Estate Pinot Noir,45.0,13.0,3,0.24744900608116624
The Struie,49.99,15.0,3,0.24630708523094644
Estate Pinot Noir,45.99,14.0,3,0.23987461157488943
Rioja Gran Reserva,47.99,15.0,3,0.23767190821496834
